,A Room with a View.txt,A Doll's House.txt,A Christmas Carol in Prose Being a Ghost Story of Christmas.txt,A Modest Proposal.txt,A Short History of English Agriculture.txt,A Smaller History of Rome.txt
274;,0,0,0,0,1,1
275,0,0,0,0,0,1
"275,",0,0,0,0,1,0
"275-6,",0,0,0,0,1,0
275.,0,0,0,0,1,1
275;,0,0,0,0,0,1
"275n.,",0,0,0,0,1,0
276,0,0,0,0,0,1
"276,",0,0,0,0,1,1
276-7.,0,0,0,0,1,0
276.,0,0,0,0,1,1
276;,0,0,0,0,1,1
277,0,0,0,0,0,1
"277,",0,0,0,0,1,0
"277-8,",0,0,0,0,1,0
"277-80,",0,0,0,0,1,0
277-80.,0,0,0,0,1,0
"277-81,",0,0,0,0,1,0
277-9.,0,0,0,0,1,0
277.,0,0,0,0,1,1
277;,0,0,0,0,0,1
"277n.,",0,0,0,0,1,0
278,0,0,0,0,1,1
278),0,0,0,0,0,1
"278,",0,0,0,0,1,0
"278,955",0,0,0,0,1,0
"278-9,",0,0,0,0,1,0
278.,0,0,0,0,1,1
278;,0,0,0,0,0,1
279,0,0,0,0,1,0
279),0,0,0,0,0,1
"279,",0,0,0,0,1,0
279.,0,0,0,0,1,1
279;,0,0,0,0,1,0
"279n.,",0,0,0,0,1,0
27:,0,0,0,0,0,1
27;,0,0,0,0,0,1
"27n.,",0,0,0,0,1,0
27s.,0,0,0,0,1,0
27th),0,0,0,0,0,1
"27th,",0,0,0,0,0,1
28,0,0,0,1,1,1
"28,",0,0,0,0,1,1
"28,161,164;",0,0,0,0,1,0
"28,406",0,0,0,0,1,0
28-3/4,0,0,0,0,1,0
28.,0,0,0,0,1,1
28.2,0,0,0,0,1,0
280,0,0,0,0,1,1
280).,0,0,0,0,0,1
"280,",0,0,0,0,1,0
"280-1,",0,0,0,0,1,0
280.,0,0,0,0,1,1
280.[325],0,0,0,0,1,0
280;,0,0,0,0,0,1
281,0,0,0,0,0,1
"281,",0,0,0,0,1,1
281.,0,0,0,0,1,1
281;,0,0,0,0,1,0
282,0,0,0,0,0,1
"282,",0,0,0,0,1,0
"282-3,",0,0,0,0,1,0
282.,0,0,0,0,1,1
282;,0,0,0,0,1,1
283,0,0,0,0,0,1
"283,",0,0,0,0,1,1
"283,332",0,0,0,0,1,0
"283-4,",0,0,0,0,1,0
283-5;,0,0,0,0,1,0
283.,0,0,0,0,1,1
283;,0,0,0,0,0,1
284,0,0,0,0,0,1
"284,",0,0,0,0,1,1
284.,0,0,0,0,1,1
284;,0,0,0,0,0,1
285,0,0,0,0,0,1
"285,",0,0,0,0,1,0
"285-6,",0,0,0,0,1,0
285-6.,0,0,0,0,1,0
285.,0,0,0,0,1,0
285n.,0,0,0,0,1,0
286,0,0,0,0,0,1
"286,",0,0,0,0,1,1
"286-7,",0,0,0,0,1,0
286.,0,0,0,0,1,1
286;,0,0,0,0,1,1
287,0,0,0,0,0,1
"287,",0,0,0,0,1,0
287-9.,0,0,0,0,1,0
287.,0,0,0,0,1,1
287;,0,0,0,0,1,1
"287n.,",0,0,0,0,1,0
288,0,0,0,0,1,1
"288,",0,0,0,0,1,0
288.,0,0,0,0,1,1
288;,0,0,0,0,1,1
"288n.,",0,0,0,0,1,0
289,0,0,0,0,0,1
289),0,0,0,0,0,1
"289,",0,0,0,0,1,1
"289,558",0,0,0,0,1,0
"289-90,",0,0,0,0,1,0
289.,0,0,0,0,0,1
289;,0,0,0,0,0,1
28:,0,0,0,0,0,1
28;,0,0,0,0,0,1
28s.,0,0,0,0,1,0
28th,0,0,0,0,0,1
29,0,0,0,0,1,1
"29),",0,0,0,0,0,1
"29,",0,0,0,0,1,1
29.,0,0,0,0,1,1
29.28,0,0,0,0,1,0
29.40,0,0,0,0,1,0
290,0,0,0,0,0,1
"290,",0,0,0,0,1,0
"290-1,",0,0,0,0,1,0
"290-2,",0,0,0,0,1,0
290-2.,0,0,0,0,1,0
290-265.,0,0,0,0,0,1
290.,0,0,0,0,1,1
290;,0,0,0,0,1,1
291,0,0,0,0,0,1
"291,",0,0,0,0,1,0
291-2.,0,0,0,0,1,0
291-293;,0,0,0,0,0,1
291-349.,0,0,0,0,1,0
291.,0,0,0,0,1,1
291;,0,0,0,0,1,1
292,0,0,0,0,0,1
292).,0,0,0,0,0,1
"292,",0,0,0,0,1,0
292.,0,0,0,0,1,1
292;,0,0,0,0,0,1
293,0,0,0,0,0,1
"293,",0,0,0,0,1,1
"293,469",0,0,0,0,1,0
"293-6,",0,0,0,0,1,0
293.,0,0,0,0,1,1
293;,0,0,0,0,0,1
294,0,0,0,0,0,1
"294,",0,0,0,0,1,1
"294,910",0,0,0,0,1,0
"294-6,",0,0,0,0,1,0
294.,0,0,0,0,1,1
295,0,0,0,0,0,1
"295,",0,0,0,0,1,1
"295,475",0,0,0,0,1,0
295-6.,0,0,0,0,1,0
295.,0,0,0,0,1,1
295;,0,0,0,0,0,1
296,0,0,0,0,0,1
"296,",0,0,0,0,1,0
"296,117",0,0,0,0,1,0
"296,186",0,0,0,0,1,0
296.,0,0,0,0,1,1
296;,0,0,0,0,0,1
297,0,0,0,0,0,1
"297,",0,0,0,0,1,1
"297-8,",0,0,0,0,1,0
297-8;,0,0,0,0,1,0
"297-9,",0,0,0,0,1,0
297.,0,0,0,0,1,1
297;,0,0,0,0,0,1
298,0,0,0,0,0,1
"298,",0,0,0,0,1,0
298-290.,0,0,0,0,0,1
298-290.--As,0,0,0,0,0,1
"298-9,",0,0,0,0,1,0
298.,0,0,0,0,1,0
298;,0,0,0,0,0,1
299,0,0,0,0,0,1
"299,",0,0,0,0,1,0
299-302.,0,0,0,0,1,0
299-303.,0,0,0,0,1,0
299.,0,0,0,0,1,1
299;,0,0,0,0,1,1
29:,0,0,0,0,0,1
29;,0,0,0,0,1,1
29s.,0,0,0,0,1,0
"29s.,",0,0,0,0,1,0
29th,0,1,0,0,0,0
2:,0,0,0,0,0,1
2;,0,0,0,0,1,1
2d,0,0,0,0,0,1
2d.,0,0,0,0,1,0
"2d.,",0,0,0,0,1,0
2d.;,0,0,0,0,1,0
2d.[631],0,0,0,0,1,0
2nd,0,1,0,0,1,0
"2nd,",0,0,0,0,0,1
2s.,0,0,0,0,1,0
"2s.,",0,0,0,0,1,0
2s.;,0,0,0,0,1,0
2s.[73],0,0,0,0,1,0
3,1,1,1,1,1,1
"3),",0,0,0,0,1,1
"3,",0,0,0,0,1,1
"3,000",0,0,0,0,1,0
"3,000,000",0,0,0,0,1,0
"3,024",0,0,0,0,1,0
"3,041,214",0,0,0,0,1,0
"3,110,729",0,0,0,0,1,0
"3,111,290",0,0,0,0,1,0
"3,341,500",0,0,0,0,1,0
"3,416",0,0,0,0,1,0
"3,416,750",0,0,0,0,1,0
"3,526,232",0,0,0,0,1,0
"3,626,173",0,0,0,0,1,0
"3,817",0,0,0,0,1,0
"3,828,691",0,0,0,0,1,0
"3,870,648",0,0,0,0,1,0
"3,871",0,0,0,0,1,0
"3,915",0,0,0,0,1,0
"3,979,650",0,0,0,0,1,0
3-1/2,0,0,0,0,1,0
3-1/2d.,0,0,0,0,1,0
"3-1/2d.,",0,0,0,0,1,0
3-1/2d.;,0,0,0,0,1,0
3-1/2d.[590],0,0,0,0,1,0
3-1/4,0,0,0,0,1,0
3-1/4d.,0,0,0,0,1,0
3-3/4,0,0,0,0,1,0
3-3/4d.,0,0,0,0,1,0
3-5/7d.,0,0,0,0,1,0
3-5/8d.,0,0,0,0,1,0
3.,1,1,1,1,1,1
3.[247],0,0,0,0,1,0
3/4d.,0,0,0,0,1,0
30,1,1,1,1,1,1
30%;,0,0,0,0,1,0
30),0,0,0,0,0,1
"30,",0,0,0,0,1,1
"30,000",0,0,0,0,1,1
"30,000,",0,0,0,0,0,1
30-1.,0,0,0,0,1,0
30-1/2,0,0,0,0,1,0
30.,0,0,0,0,1,1
30.3;,0,0,0,0,1,0
300,0,0,0,0,1,1
"300),",0,0,0,0,0,1
"300,",0,0,0,0,1,1
"300,000",0,0,0,0,1,1
300.,0,0,0,0,1,1
3000,0,0,0,0,0,1
300;,0,0,0,0,0,1
"300n.,",0,0,0,0,1,0
301,0,0,0,0,0,1
"301,",0,0,0,0,1,0
301.,0,0,0,0,1,1
301;,0,0,0,0,1,1
302,0,0,0,0,1,1
"302,",0,0,0,0,1,0
302.,0,0,0,0,1,1
302;,0,0,0,0,1,1
303,0,0,0,0,0,1
"303,",0,0,0,0,1,1
"303,964",0,0,0,0,1,0
"303-4,",0,0,0,0,1,0
303-4.,0,0,0,0,1,0
303-4;,0,0,0,0,1,0
303.,0,0,0,0,1,1
303;,0,0,0,0,0,1
304,0,0,0,0,1,1
"304),",0,0,0,0,0,1
"304,",0,0,0,0,1,1
304.,0,0,0,0,1,1
305,0,0,0,0,0,1
"305,",0,0,0,0,1,1
305-14.,0,0,0,0,1,0
305.,0,0,0,0,1,1
305;,0,0,0,0,1,1
306,0,0,0,0,0,1
"306,",0,0,0,0,1,1
"306,356",0,0,0,0,1,0
"306-9,",0,0,0,0,1,0
306.,0,0,0,0,1,1
306;,0,0,0,0,1,0
306n.,0,0,0,0,1,0
"306n.,",0,0,0,0,1,0
306n.;,0,0,0,0,1,0
307,0,0,0,0,0,1
"307,",0,0,0,0,1,0
307.,0,0,0,0,1,0
307;,0,0,0,0,1,1
308,0,0,0,0,0,1
"308,",0,0,0,0,1,0
"308,420",0,0,0,0,1,0
308.,0,0,0,0,1,1
308;,0,0,0,0,0,1
309,0,0,0,0,0,1
"309,",0,0,0,0,1,0
"309,119",0,0,0,0,1,0
309.,0,0,0,0,1,1
309;,0,0,0,0,1,1
30:,0,0,0,0,0,1
30;,0,0,0,0,1,1
"30d.,",0,0,0,0,1,0
30s.,0,0,0,0,1,0
30s.[314],0,0,0,0,1,0
30s.[320],0,0,0,0,1,0
30th,0,0,0,0,0,1
31,0,0,0,0,1,1
"31,",0,0,0,0,1,1
"31,648,000",0,0,0,0,1,0
31-A.D.,0,0,0,0,0,1
31.,0,0,0,0,1,1
31.(Eighth,0,0,0,0,0,1
31.1[731],0,0,0,0,1,0
31.4,0,0,0,0,1,0
310,0,0,0,0,0,1
"310,",0,0,0,0,1,1
310.,0,0,0,0,1,1
310;,0,0,0,0,1,1
311,0,0,0,0,0,1
"311,",0,0,0,0,1,0
"311-14,",0,0,0,0,1,0
"311-2,",0,0,0,0,1,0
311.,0,0,0,0,1,1
311;,0,0,0,0,1,1
"311n.,",0,0,0,0,1,0
312,0,0,0,0,0,1
"312),",0,0,0,0,0,1
"312,",0,0,0,0,1,0
312.,0,0,0,0,1,1
313,0,0,0,0,0,1
"313,",0,0,0,0,1,0
"313,667",0,0,0,0,1,0
"313-4,",0,0,0,0,1,0
313.,0,0,0,0,1,1
313;,0,0,0,0,1,0
314,0,0,0,0,0,1
"314,",0,0,0,0,1,1
314-304.,0,0,0,0,0,1
314-5.,0,0,0,0,1,0
314.,0,0,0,0,1,1
314;,0,0,0,0,1,1
314n.,0,0,0,0,1,0
315,0,0,0,0,1,1
"315,",0,0,0,0,1,0
315-6.,0,0,0,0,1,0
315-7.,0,0,0,0,1,0
315.,0,0,0,0,1,1
315;,0,0,0,0,1,0
316,0,0,0,0,0,1
"316,",0,0,0,0,1,0
316-7.,0,0,0,0,1,0
316-9;,0,0,0,0,1,0
316.,0,0,0,0,1,1
316;,0,0,0,0,1,0
317,0,0,0,0,1,1
"317,",0,0,0,0,1,0
317.,0,0,0,0,1,0
318,0,0,0,0,1,1
"318,",0,0,0,0,1,0
"318,778",0,0,0,0,1,0
318.,0,0,0,0,1,1
318;,0,0,0,0,1,0
319,0,0,0,0,1,1
"319,",0,0,0,0,1,0
319.,0,0,0,0,1,1
319n.,0,0,0,0,1,0
"319n.,",0,0,0,0,1,0
31:,0,0,0,0,0,1
31;,0,0,0,0,0,1
31s.,0,0,0,0,1,0
31st,0,0,0,0,0,1
"31st,",0,0,0,0,0,1
32,0,0,0,0,1,1
"32,",0,0,0,0,1,0
"32,000,000.",0,0,0,0,1,0
"32,000.",0,0,0,0,1,0
"32,305,000",0,0,0,0,1,0
"32,317",0,0,0,0,1,0
32--Transcriber)],0,0,0,0,0,1
32.,0,0,0,0,1,1
32.88,0,0,0,0,1,0
320,0,0,0,0,1,1
"320,",0,0,0,0,1,0
"320,000",0,0,0,0,0,1
320-1;,0,0,0,0,1,0
320-2;,0,0,0,0,1,0
320.,0,0,0,0,1,0
3200,0,0,0,0,0,1
320;,0,0,0,0,1,1
320n.,0,0,0,0,1,0
321,0,0,0,0,0,1
"321,470,554",0,0,0,0,1,0
321-2.,0,0,0,0,1,0
321-315),0,0,0,0,0,1
321-315.,0,0,0,0,0,1
321.,0,0,0,0,1,1
321;,0,0,0,0,0,1
322,0,0,0,0,1,1
"322,",0,0,0,0,1,0
"322,515",0,0,0,0,1,0
322.,0,0,0,0,1,1
322;,0,0,0,0,1,1
322?”,1,0,0,0,0,0
323,0,0,0,0,0,1
"323,000",0,0,0,0,1,0
323-30.,0,0,0,0,1,0
"323-4,",0,0,0,0,1,0
323-4.,0,0,0,0,1,0
323-4;,0,0,0,0,1,0
323.,0,0,0,0,1,1
323;,0,0,0,0,1,0
324,0,0,0,0,1,1
"324,",0,0,0,0,1,0
"324-5,",0,0,0,0,1,0
"324-6,",0,0,0,0,1,0
324.,0,0,0,0,1,1
324;,0,0,0,0,1,1
325,0,0,0,0,1,1
"325,",0,0,0,0,1,1
"325,330",0,0,0,0,1,0
"325-6,",0,0,0,0,1,0
325-6;,0,0,0,0,1,0
325.,0,0,0,0,1,1
325;,0,0,0,0,1,0
326,0,0,0,0,0,1
"326,",0,0,0,0,1,0
326-304.,0,0,0,0,0,1
326-304.--The,0,0,0,0,0,1
326-322),0,0,0,0,0,1
326-7.,0,0,0,0,1,0
326.,0,0,0,0,1,1
326;,0,0,0,0,1,0
327,0,0,0,0,0,1
"327,",0,0,0,0,1,1
"327,335",0,0,0,0,1,0
327.,0,0,0,0,1,1
327;,0,0,0,0,1,1
328,0,0,0,0,0,1
"328,",0,0,0,0,1,0
328.,0,0,0,0,1,0
328:,0,0,0,0,0,1
328;,0,0,0,0,1,1
328n.,0,0,0,0,1,0
329,0,0,0,0,1,1
"329,",0,0,0,0,1,1
"329-30,",0,0,0,0,1,0
329-30;,0,0,0,0,1,0
329.,0,0,0,0,1,1
329;,0,0,0,0,1,0
32:,0,0,0,0,0,1
32;,0,0,0,0,1,1
32s.,0,0,0,0,1,0
"32°,",0,0,0,0,1,0
33,0,0,0,0,1,1
"33,",0,0,0,0,1,1
"33,000",0,0,0,0,1,0
33.,0,0,0,0,1,1
33.96,0,0,0,0,1,0
330,0,0,0,0,1,1
"330,",0,0,0,0,1,0
330.,0,0,0,0,1,0
330;,0,0,0,0,1,1
331,0,0,0,0,0,1
"331,",0,0,0,0,1,0
"331,463",0,0,0,0,1,0
"331-2,",0,0,0,0,1,0
331-2;,0,0,0,0,1,0
"331-3,",0,0,0,0,1,0
331.,0,0,0,0,1,1
331;,0,0,0,0,1,1
332,0,0,0,0,0,1
"332,",0,0,0,0,1,0
332.,0,0,0,0,1,0
332;,0,0,0,0,1,1
332n.,0,0,0,0,1,0
333,0,0,0,0,0,1
"333,",0,0,0,0,1,0
333-4;,0,0,0,0,1,0
333.,0,0,0,0,1,0
333;,0,0,0,0,1,0
334,0,0,0,0,0,1
"334,",0,0,0,0,1,1
334.,0,0,0,0,1,0
334;,0,0,0,0,1,0
335,0,0,0,0,0,1
"335,",0,0,0,0,1,0
335-6.,0,0,0,0,1,0
335.,0,0,0,0,1,1
335;,0,0,0,0,1,0
336,0,0,0,0,0,1
"336,",0,0,0,0,1,0
"336-8,",0,0,0,0,1,0
336.,0,0,0,0,1,1
336;,0,0,0,0,1,1
337,0,0,0,0,0,1
"337,",0,0,0,0,1,1
337-8.,0,0,0,0,1,0
337.,0,0,0,0,1,1
337;,0,0,0,0,1,0
338,0,0,0,0,1,1
"338,",0,0,0,0,1,0
"338,177",0,0,0,0,1,0
"338-40,",0,0,0,0,1,0
338.,0,0,0,0,1,1
338;,0,0,0,0,1,1
339,0,0,0,0,0,1
"339,",0,0,0,0,1,0
339.,0,0,0,0,1,1
339;,0,0,0,0,1,1
33:,0,0,0,0,0,1
33;,0,0,0,0,0,1
33rd,0,0,0,0,1,0
33s.,0,0,0,0,1,0
34,0,0,0,0,1,1
"34,",0,0,0,0,1,1
"34,651,549",0,0,0,0,1,0
34.,0,0,0,0,1,1
34.1,0,0,0,0,1,0
340,0,0,0,0,0,1
340).,0,0,0,0,0,1
"340,",0,0,0,0,1,0
340-1.,0,0,0,0,1,0
340-3.,0,0,0,0,1,0
340-338.,0,0,0,0,0,1
340-338.--The,0,0,0,0,0,1
340.,0,0,0,0,1,0
340.--The,0,0,0,0,0,1
340;,0,0,0,0,1,1
341,0,0,0,0,1,1
"341,",0,0,0,0,1,1
341.,0,0,0,0,1,1
342,0,0,0,0,0,1
"342,",0,0,0,0,1,0
342.,0,0,0,0,1,1
342;,0,0,0,0,1,1
343,0,0,0,0,0,1
"343,",0,0,0,0,1,0
343-341.,0,0,0,0,0,1
343-341.--The,0,0,0,0,0,1
343-6;,0,0,0,0,1,0
343.,0,0,0,0,1,1
343;,0,0,0,0,1,0
344,0,0,0,0,0,1
"344,",0,0,0,0,1,0
344.,0,0,0,0,1,1
344;,0,0,0,0,1,0
345,0,0,0,0,0,1
"345,",0,0,0,0,1,0
345.,0,0,0,0,1,1
345;,0,0,0,0,1,0
346,0,0,0,0,0,1
"346,",0,0,0,0,1,0
346.,0,0,0,0,1,1
347,0,0,0,0,0,1
"347,",0,0,0,0,1,0
347.,0,0,0,0,1,1
348,0,0,0,0,0,1
"348,",0,0,0,0,1,0
"348,289",0,0,0,0,1,0
348-9.,0,0,0,0,1,0
348-9;,0,0,0,0,1,0
348.,0,0,0,0,1,1
349,0,0,0,0,0,1
349.,0,0,0,0,1,1
349;,0,0,0,0,1,0
34:,0,0,0,0,0,1
34;,0,0,0,0,1,0
34s.,0,0,0,0,1,0
35,0,0,0,0,1,1
"35,",0,0,0,0,1,0
35.,0,0,0,0,1,1
350,0,0,0,0,1,1
"350,000",0,0,0,0,0,1
"350-3,",0,0,0,0,1,0
350-3.,0,0,0,0,1,0
350.,0,0,0,0,0,1
351,0,0,0,0,0,1
351);,0,0,0,0,0,1
351.,0,0,0,0,1,1
"3511.,",0,0,0,0,1,0
352.,0,0,0,0,1,0
"353,",0,0,0,0,1,0
353.,0,0,0,0,1,0
353;,0,0,0,0,1,0
"354,",0,0,0,0,1,0
354-5.,0,0,0,0,1,0
354.,0,0,0,0,1,0
354;,0,0,0,0,1,0
355,0,0,0,0,1,0
"355,",0,0,0,0,1,0
355.,0,0,0,0,1,0
355;,0,0,0,0,1,0
"356,",0,0,0,0,0,1
356.,0,0,0,0,1,1
356;,0,0,0,0,0,1
357.,0,0,0,0,1,0
359.,0,0,0,0,1,0
35:,0,0,0,0,0,1
"35n.,",0,0,0,0,1,0
35s.,0,0,0,0,1,0
"35s.,",0,0,0,0,1,0
35th,0,0,0,0,0,1
36,0,0,0,0,1,1
"36),",0,0,0,0,0,1
"36,",0,0,0,0,1,0
"36,000",0,0,0,0,0,1
"36,999,846",0,0,0,0,1,0
36.,0,0,0,0,1,1
360,0,0,0,0,1,0
361,0,0,0,0,1,1
"361,",0,0,0,0,0,1
361.,0,0,0,0,0,1
362,0,0,0,0,0,1
362).,0,0,0,0,0,1
362.,0,0,0,0,0,1
"363,",0,0,0,0,0,1
364,0,0,0,0,1,0
"364,000",0,0,0,0,1,0
364--which,0,0,0,0,0,1
364.,0,0,0,0,0,1
365.,0,0,0,0,1,1
366,0,0,0,0,1,1
"366,",0,0,0,0,1,0
366.,0,0,0,0,1,1
367,0,0,0,0,0,1
367-290.,0,0,0,0,0,1
367.,0,0,0,0,0,1
"368,",0,0,0,0,1,0
368.,0,0,0,0,1,1
36:,0,0,0,0,0,1
36;,0,0,0,0,1,1
36s.,0,0,0,0,1,0
36th,0,0,0,0,0,1
37,0,0,0,0,1,1
37),0,0,0,0,0,1
"37,",0,0,0,0,1,1
"37,130,344",0,0,0,0,1,0
"37,130,344.",0,0,0,0,1,0
"37,273,678",0,0,0,0,1,0
37-1/2,0,0,0,0,1,0
37-41.--Caius,0,0,0,0,0,1
37.,0,0,0,0,0,1
370,0,0,0,0,1,0
370-1.,0,0,0,0,1,0
371.,0,0,0,0,1,0
372.,0,0,0,0,1,0
373,0,0,0,0,1,0
374.,0,0,0,0,1,0
375.,0,0,0,0,1,1
376,0,0,0,0,0,1
"376,249",0,0,0,0,1,0
376.,0,0,0,0,0,1
"378,",0,0,0,0,0,1
378.,0,0,0,0,0,1
379.,0,0,0,0,1,0
37:,0,0,0,0,1,1
37;,0,0,0,0,0,1
38,0,0,0,0,1,1
38),0,0,0,0,0,1
38).,0,0,0,0,0,1
38);,0,0,0,0,0,1
"38,",0,0,0,0,1,1
"38,796",0,0,0,0,1,0
38-1/2,0,0,0,0,1,0
"38-41,",0,0,0,0,1,0
"38-9,",0,0,0,0,1,0
38.,0,0,0,0,1,1
380.,0,0,0,0,1,0
"381,891",0,0,0,0,1,0
"383,",0,0,0,0,1,1
383.,0,0,0,0,1,0
384).,0,0,0,0,0,1
"384,475",0,0,0,0,1,0
384.,0,0,0,0,1,1
385.,0,0,0,0,0,1
387,0,0,0,0,1,0
388,0,0,0,0,1,0
"388,",0,0,0,0,0,1
388;,0,0,0,0,1,0
389.,0,0,0,0,1,0
38:,0,0,0,0,0,1
38;,0,0,0,0,0,1
38s.,0,0,0,0,1,0
"38s.,",0,0,0,0,1,0
39,0,0,0,0,1,1
39).,0,0,0,0,0,1
"39,",0,0,0,0,1,0
"39,000,000",0,0,0,0,1,0
"39,000,000--not",0,0,0,0,1,0
39.,0,0,0,0,1,1
39.18,0,0,0,0,1,0
390-1.,0,0,0,0,1,0
390-367.,0,0,0,0,0,1
390.,0,0,0,0,0,1
391).,0,0,0,0,0,1
391.,0,0,0,0,0,1
392,0,0,0,0,1,0
"392,",0,0,0,0,0,1
394).,0,0,0,0,0,1
394.,0,0,0,0,0,1
"395,",0,0,0,0,0,1
395.,0,0,0,0,1,0
396).,0,0,0,0,0,1
396.,0,0,0,0,1,1
397;,0,0,0,0,1,0
398.,0,0,0,0,1,0
399.,0,0,0,0,1,0
39:,0,0,0,0,0,1
39;,0,0,0,0,0,1
39s.,0,0,0,0,1,0
3:,0,0,0,0,0,1
3;,0,0,0,0,1,1
3^8.,0,0,0,0,1,0
3d,0,0,0,0,0,1
"3d,",0,0,0,0,0,1
3d.,0,0,0,0,1,0
3d.',0,0,0,0,1,0
"3d.,",0,0,0,0,1,0
3d.;,0,0,0,0,1,0
3d.[454],0,0,0,0,1,0
3rd,0,0,0,0,1,0
"3rd,",0,0,0,0,0,1
3s.,0,0,0,0,1,0
3s.',0,0,0,0,1,0
"3s.,",0,0,0,0,1,0
3s.;,0,0,0,0,1,0
4,1,1,1,1,1,1
"4,",1,1,1,1,1,1
"4,000",0,0,0,0,1,0
"4,013,564",0,0,0,0,1,0
"4,022,000",0,0,0,0,1,0
"4,100",0,0,0,0,1,0
"4,271,250",0,0,0,0,1,0
"4,300",0,0,0,0,1,0
"4,310,156",0,0,0,0,1,0
"4,350",0,0,0,0,1,0
"4,401,000",0,0,0,0,1,0
"4,500",0,0,0,0,1,0
"4,500,000",0,0,0,0,1,0
"4,569,546",0,0,0,0,1,0
"4,585",0,0,0,0,1,0
"4,612,110",0,0,0,0,1,0
"4,642,641,",0,0,0,0,1,0
"4,799;",0,0,0,0,1,0
"4,941",0,0,0,0,1,0
"4,987,731",0,0,0,0,1,0
4-1/2,0,0,0,0,1,0
4-1/2d.,0,0,0,0,1,0
4-3/4,0,0,0,0,1,0
4-3/4d.,0,0,0,0,1,0
4-7/8d.,0,0,0,0,1,0
4.,1,1,1,1,1,1
4.3,0,0,0,0,1,0
40,0,0,0,0,1,1
40),0,0,0,0,0,1
"40,",0,0,0,0,1,1
"40,000",0,0,0,0,1,1
40.,0,0,0,0,1,1
40.(Eighth,0,0,0,0,0,1
400,0,0,0,0,1,1
"400,",0,0,0,0,0,1
"400,000",0,0,0,0,1,0
"400,408",0,0,0,0,1,0
4000,0,0,0,0,0,1
"4000,",0,0,0,0,0,1
"402,",0,0,0,0,1,0
403,0,0,0,0,0,1
403.,0,0,0,0,1,1
"405,",0,0,0,0,1,0
"406,",0,0,0,0,0,1
408,0,0,0,0,0,1
"408,",0,0,0,0,0,1
40:,0,0,0,0,0,1
40;,0,0,0,0,0,1
40s.,0,0,0,0,1,0
"40s.,",0,0,0,0,1,0
40s.;,0,0,0,0,1,0
40th,0,0,0,0,0,1
41,0,0,0,0,1,1
"41),",0,0,0,0,0,1
"41,",0,0,0,0,1,0
41-1/2,0,0,0,0,1,0
"41-3,",0,0,0,0,1,0
41-30.,0,0,0,0,0,1
41-4;,0,0,0,0,1,0
41-54.--The,0,0,0,0,0,1
41.,0,0,0,0,0,1
41.38,0,0,0,0,1,0
41.],0,0,0,0,0,1
"410,",0,0,0,0,0,1
411,0,0,0,0,1,0
412.,0,0,0,0,1,0
414.,0,0,0,0,1,0
414.),0,0,0,0,1,0
41:,0,0,0,0,0,1
"41n.,",0,0,0,0,1,0
41s.,0,0,0,0,1,0
42,0,0,0,0,1,1
42),0,0,0,0,0,1
"42,",0,0,0,0,1,1
"42,062",0,0,0,0,1,0
"42,512",0,0,0,0,1,0
42.,0,0,0,0,1,1
"420,373",0,0,0,0,1,0
420.,0,0,0,0,1,0
4200,0,0,0,0,0,1
421,0,0,0,0,0,1
421.,0,0,0,0,0,1
"423,",0,0,0,0,0,1
"426),",0,0,0,0,0,1
426.,0,0,0,0,0,1
"427,199",0,0,0,0,1,0
42:,0,0,0,0,0,1
"42n.,",0,0,0,0,1,0
42s.,0,0,0,0,1,0
43,0,0,0,0,1,1
"43,",0,0,0,0,1,1
"43,217",0,0,0,0,1,0
43-18.,0,0,0,0,0,1
43.,0,0,0,0,1,1
430.,0,0,0,0,1,0
"432,534",0,0,0,0,1,0
433.,0,0,0,0,1,0
"436,193",0,0,0,0,1,0
436;,0,0,0,0,1,0
437).,0,0,0,0,0,1
437.,0,0,0,0,0,1
"438,",0,0,0,0,1,0
438.,0,0,0,0,1,0
43:,0,0,0,0,0,1
43;,0,0,0,0,0,1
43s.,0,0,0,0,1,0
44,0,0,0,0,1,1
"44,",0,0,0,0,1,1
"44,000",0,0,0,0,1,0
"44,842",0,0,0,0,1,0
"44,938",0,0,0,0,1,0
44-42.,0,0,0,0,0,1
44.,0,0,0,0,1,1
44.4,0,0,0,0,1,0
440,0,0,0,0,0,1
440.,0,0,0,0,0,1
"441,956",0,0,0,0,1,0
"443),",0,0,0,0,0,1
443.,0,0,0,0,0,1
444,0,0,0,0,0,1
444),0,0,0,0,1,0
"444,121",0,0,0,0,1,0
444.,0,0,0,0,1,0
445,0,0,0,0,0,1
445).,0,0,0,0,0,1
445.,0,0,0,0,0,1
"448,",0,0,0,0,0,1
448-390.,0,0,0,0,0,1
448.,0,0,0,0,1,0
449),0,0,0,0,0,1
449.,0,0,0,0,1,1
44:,0,0,0,0,0,1
44;,0,0,0,0,1,0
44s.,0,0,0,0,1,0
45,0,0,0,0,1,1
"45,",0,0,0,0,1,1
"45,000",0,0,0,0,0,1
45.,0,0,0,0,1,1
450,0,0,0,0,1,0
450.,0,0,0,0,0,1
"451,",0,0,0,0,0,1
451-449.,0,0,0,0,0,1
451.,0,0,0,0,0,1
"452),",0,0,0,0,0,1
452.,0,0,0,0,0,1
453.,0,0,0,0,0,1
454.,0,0,0,0,0,1
455.,0,0,0,0,1,1
456.,0,0,0,0,1,0
458,0,0,0,0,0,1
"458,578",0,0,0,0,1,0
